doc_num,token
0120,"['09:20:23.32', '1,425,000', '13', '15.4', '16.6', '166,000', '19', '1985', '1985', '1985', '3,772,000', '3-mar-1987', '391,000', '4', '5,545,000', '52', '580,000', 'account', 'adjust', 'august', 'compani', 'cts', 'cts', 'cts', 'cts', 'figur', 'forma', 'fsi', 'inc', 'initi', 'loss', 'loss', 'loss', 'loss', 'loss', 'march', 'mln', 'mln', 'nation', 'net', 'net', 'nfsi', 'note', 'offer', 'origin', 'pro', 'profit', 'profit', 'profit', 'profit', 'public', 'purchas', 'qtr', 'reeacquisit', 'result', 'rev', 'rev', 'sharehold', 'shr', 'shr', 'six', 'th', 'vs', 'vs', 'vs', 'vs', 'vs', 'vs', 'year', 'year']"
0121,"['09:23:44.74', '5-mar-1987', '7.0', 'barcelo', 'caus', 'caus', 'chile', 'chilean', 'chuquicamata', 'chuquicamata', 'chuquicamata', 'chuquicamata', 'commiss', 'confirm', 'continu', 'copper', 'copper', 'damag', 'damag', 'damag', 'director', 'earthquak', 'end', 'guillermo', 'hit', 'mine', 'mine', 'mine', 'mine', 'northern', 'open', 'oper', 'problem', 'public', 'quak', 'quak', 'regist', 'relat', 'reuter', 'richter', 'said', 'santiago', 'scale', 'spokesman', 'spokesman', 'spokesman', 'state', 'telephon', 'today', 'told', 'usual']"
0122,"['1,894,764', '1.030', '1.225', '10,572,402', '10.572', '101,020', '11,254,837', '116,000', '13-mar-1987', '15:11:52.98', '19,488,587', '217,000', '45.52', '51.17', '554,000', '588,000', '646,000', '842,000', '875,000', '890,000', '90', '90', 'accept', 'accept', 'accept', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acr', 'acreag', 'advantag', 'agricultur', 'amount', 'announc', 'annual', 'approxim', 'asc', 'averag', 'averag', 'base', 'base', 'base', 'belt', 'bid', 'bid', 'bid', 'big', 'biggest', 'bonus', 'bonus', 'bushel', 'certif', 'comod', 'conserv', 'conserv', 'conserv', 'conserv', 'conserv', 'conserv', 'corn', 'corn', 'corn', 'corn', 'corn', 'corn', 'cover', 'cropland', 'dakota', 'date', 'depart', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'enrol', 'enrol', 'enrol', 'enrol', 'enter', 'erod', 'farm', 'farm', 'farm', 'farmer', 'follow', 'generic', 'high', 'illinoi', 'indiana', 'inelig', 'iowa', 'kansa', 'land', 'land', 'latest', 'minnesota', 'missouri', 'mln', 'mln', 'mln', 'montana', 'must', 'nebraska', 'north', 'offer', 'paid', 'payment', 'payment', 'payment', 'per', 'per', 'per', 'per', 'perman', 'plant', 'previous', 'produc', 'program', 'program', 'program', 'program', 'program', 'program', 'rang', 'rang', 'rental', 'rental', 'report', 'reserv', 'reserv', 'reserv', 'respect', 'show', 'show', 'sign', 'signup', 'signup', 'signup', 'state', 'state', 'state', 'submit', 'take', 'ten', 'texa', 'total', 'total', 'two', 'u', 'usda', 'usda', 'usda', 'veget', 'year', 'yield']"
0123,"['1.3', '12', '13-mar-1987', '15:13:01.16', '1984', '1985', '2.3', '50', '8', '90', 'abil', 'accru', 'accru', 'agreement', 'ahead', 'allow', 'alreadi', 'america', 'among', 'analyst', 'analyst', 'analyst', 'analyst', 'analyst', 'anoth', 'appear', 'argentina', 'argentina', 'argentina', 'around', 'assert', 'auster', 'back', 'bank', 'bank', 'bank', 'bank', 'bank', 'bank', 'bank', 'bank', 'bank', 'bank', 'bank', 'bank', 'bank', 'bank', 'bank', 'banker', 'banker', 'banker', 'basi', 'becam', 'berger', 'berger', 'berger', 'billion', 'billion', 'billion', 'bounc', 'brazil', 'brazil', 'brazil', 'brazil', 'brazil', 'brazil', 'brazil', 'brazil', 'brazil', 'brazil', 'brazil', 'brazil', 'brazil', 'brazilian', 'brazilian', 'brazilian', 'brokerag', 'brother', 'bt', 'buy', 'came', 'carol', 'case', 'case', 'case', 'cash', 'cci', 'center', 'center', 'center', 'chanc', 'chang', 'chang', 'chicago', 'citicorp', 'citicorp', 'citicorp', 'citicorp', 'citicorp', 'citicorp', 'civilian', 'classif', 'co', 'co', 'co', 'co', 'cohn', 'cohn', 'cohn', 'commerci', 'commiss', 'confront', 'corp', 'corp', 'could', 'could', 'could', 'countri', 'countri', 'countri', 'coupl', 'current', 'current', 'cut', 'cyrus', 'day', 'deal', 'deal', 'debt', 'debt', 'debt', 'debt', 'debt', 'decis', 'develop', 'develop', 'dig', 'distort', 'diversifi', 'dlrs', 'dlrs', 'dollar', 'down', 'drive', 'e', 'earn', 'earn', 'earn', 'econom', 'econom', 'economi', 'end', 'end', 'enough', 'estim', 'european', 'exchang', 'expect', 'expect', 'exposur', 'exposur', 'exposur', 'exposur', 'extend', 'f', 'fact', 'fact', 'fiddl', 'file', 'financi', 'first', 'first', 'five', 'fnb', 'form', 'fraction', 'frederick', 'full', 'fund', 'fundament', 'futur', 'get', 'go', 'go', 'gordon', 'gordon', 'govern', 'greatest', 'group', 'group', 'grow', 'half', 'hanov', 'hanov', 'happen', 'heel', 'help', 'high', 'hour', 'hutton', 'inc', 'inc', 'incom', 'indic', 'interest', 'interest', 'interest', 'interest', 'interest', 'intern', 'intern', 'interst', 'investor', 'investor', 'involv', 'issu', 'issu', 'j', 'j', 'j', 'john', 'jpm', 'k', 'late', 'late', 'latin', 'lawrenc', 'lawrenc', 'least', 'lehman', 'less', 'level', 'list', 'loan', 'loan', 'loan', 'loan', 'loan', 'loan', 'loan', 'loan', 'loan', 'loan', 'loan', 'loan', 'loan', 'loan', 'look', 'low', 'lower', 'lynch', 'make', 'make', 'manufactur', 'manufactur', 'mason', 'mason', 'materi', 'matur', 'may', 'measur', 'meet', 'meink', 'meink', 'mere', 'merril', 'mhc', 'midday', 'might', 'militari', 'mln', 'monetari', 'money', 'money', 'money', 'month', 'moratorium', 'morgan', 'morgan', 'morgan', 'most', 'much', 'much', 'much', 'negoti', 'negoti', 'nevertheless', 'new', 'new', 'new', 'new', 'news', 'non', 'non', 'non', 'non', 'non', 'non', 'none', 'note', 'note', 'note', 'note', 'number', 'occur', 'off', 'one', 'opinion', 'outcom', 'owe', 'owe', 'p', 'p', 'paid', 'partial', 'pattern', 'pay', 'pay', 'payment', 'percentag', 'perform', 'perform', 'perform', 'perform', 'pois', 'politick', 'pose', 'posit', 'postur', 'pre', 'prematur', 'prematur', 'present', 'problem', 'program', 'put', 'quarter', 'quarter', 'quarter', 'quarter', 'queri', 'question', 'ralli', 'rate', 'real', 'reason', 'recent', 'recommend', 'reduc', 'reduc', 'refer', 'regul', 'relat', 'repay', 'replay', 'report', 'reschedul', 'resolv', 'respons', 'reuter', 'review', 'right', 'riski', 'robert', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'say', 'scare', 'second', 'secur', 'secur', 'see', 'see', 'servic', 'set', 'sever', 'shearson', 'short', 'situat', 'situat', 'situat', 'situat', 'six', 'spokesman', 'spokesman', 'spokesman', 'spread', 'status', 'stock', 'stock', 'stock', 'stock', 'stop', 'street', 'stride', 'subject', 'subsidiari', 'talk', 'tax', 'term', 'term', 'term', 'thing', 'think', 'think', 'third', 'thorni', 'threat', 'today', 'took', 'tough', 'trader', 'transit', 'treat', 'tremend', 'tri', 'trust', 'trust', 'trust', 'two', 'two', 'u', 'u', 'u', 'ultim', 'unilater', 'unlik', 'unlik', 'upheav', 'us', 'valu', 'view', 'wall', 'want', 'wedg', 'whether', 'without', 'worst', 'would', 'would', 'write', 'write', 'year', 'year', 'year', 'york', 'york', 'york']"
0124,"['10.4', '13-mar-1987', '140', '15:13:10.18', '18.1', '1983', '1986', '461', '500', '500', '672', 'acquisit', 'acquisit', 'addit', 'aggress', 'author', 'avail', 'begin', 'benefit', 'board', 'bought', 'busi', 'busi', 'capit', 'common', 'common', 'compani', 'compani', 'compani', 'complement', 'continu', 'convers', 'convert', 'core', 'corp', 'develop', 'dlr', 'dlrs', 'dlrs', 'dlrs', 'employe', 'extens', 'goal', 'growth', 'improv', 'integr', 'intern', 'invest', 'long', 'march', 'market', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'novemb', 'open', 'option', 'outstand', 'part', 'pct', 'plan', 'potenti', 'present', 'present', 'present', 'price', 'privat', 'product', 'program', 'program', 'program', 'program', 'program', 'program', 'program', 'purpos', 'reduc', 'repurchas', 'repurchas', 'repurchas', 'repurchas', 'repurchas', 'repurchas', 'repurchas', 'research', 'resourc', 'rockwel', 'rockwel', 'rockwel', 'rockwel', 'rockwel', 'rockwel', 'rok', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'secur', 'seven', 'share', 'share', 'share', 'share', 'share', 'sharehold', 'sinc', 'sinc', 'stock', 'stock', 'stock', 'support', 'support', 'term', 'transact', 'valu', 'view', 'would']"
0125,"['1', '1', '13-mar-1987', '15:14:20.63', 'allow', 'author', 'begin', 'citi', 'co', 'co', 'co', 'commer', 'commiss', 'complet', 'corp', 'dalton', 'electr', 'electr', 'follow', 'full', 'full', 'full', 'generat', 'georgia', 'georgia', 'georgia', 'get', 'issu', 'june', 'licens', 'licens', 'licens', 'municp', 'nuclear', 'nuclear', 'olgethorp', 'one', 'oper', 'oper', 'oper', 'oper', 'owner', 'owner', 'plant', 'plant', 'plant', 'plant', 'power', 'power', 'power', 'power', 'power', 'pre', 'regulatori', 'said', 'said', 'said', 'schedul', 'southern', 'test', 'unit', 'unit', 'unit', 'vogtl', 'vogtl']"
0126,"['-1', '11', '13-mar-1987', '15:19:10.06', '2', 'across', 'ad', 'agreement', 'agreement', 'airway', 'airway', 'airway', 'airway', 'airway', 'almost', 'approv', 'bab', 'british', 'british', 'british', 'british', 'british', 'british', 'clear', 'compani', 'continu', 'cut', 'daili', 'earli', 'fli', 'flight', 'flight', 'flight', 'flight', 'friday', 'govern', 'govern', 'heathrow', 'hour', 'hour', 'japanes', 'june', 'leav', 'london', 'new', 'new', 'non', 'non', 'non', 'oper', 'path', 'previous', 'reach', 'return', 'right', 'rout', 'said', 'said', 'said', 'said', 'saturday', 'schedul', 'servic', 'shave', 'siberia', 'siberian', 'six', 'start', 'stop', 'stop', 'stop', 'subject', 'sunday', 'thursday', 'tokyo', 'tokyo', 'traffic', 'tran', 'ussr', 'way']"
0127,"['13-mar-1987', '15:20:20.42', 'adequaci', 'adequaci', 'affair', 'affair', 'agre', 'agreement', 'agreement', 'agreement', 'along', 'bank', 'bank', 'britain', 'britain', 'capit', 'capit', 'confer', 'confer', 'corpor', 'could', 'deal', 'discuss', 'financ', 'financi', 'gyohten', 'happen', 'howard', 'howard', 'intern', 'januari', 'japan', 'japan', 'japanes', 'joint', 'k', 'line', 'made', 'market', 'michael', 'minist', 'minist', 'negoti', 'nikkei', 'outlin', 'plan', 'progress', 'rate', 'reach', 'readi', 'regul', 'rule', 'said', 'see', 'see', 'timet', 'tokyo', 'told', 'told', 'toward', 'toyoo', 'u', 'u', 'us', 'vice', 'want', 'want', 'want', 'work', 'would', 'yesterday']"
0128,"['13-mar-1987', '15:21:39.08', '30', '301', 'agreement', 'agricultur', 'also', 'ame', 'ame', 'ame', 'american', 'april', 'ask', 'ban', 'c', 'challeng', 'communiti', 'complaint', 'complaint', 'compli', 'direct', 'ec', 'ec', 'ec', 'effect', 'european', 'export', 'farm', 'file', 'file', 'file', 'fulli', 'general', 'govern', 'govern', 'group', 'group', 'industri', 'industri', 'inspect', 'institut', 'intend', 'intend', 'korea', 'korean', 'livestock', 'man', 'meat', 'meat', 'meat', 'meat', 'meat', 'meat', 'molpus', 'molpus', 'petit', 'petit', 'plant', 'presid', 'process', 'product', 'requir', 'requir', 'retali', 'retali', 'said', 'said', 'section', 'seek', 'senat', 'standard', 'subcommitte', 'tariff', 'told', 'trade', 'trade', 'u', 'u', 'u', 'u', 'u', 'upheld', 'would']"
0129,"['-22', '13-mar-1987', '15:21:47.30', '20', '575,000', '75,000', 'allot', 'april', 'b', 'bancorp', 'bancorp', 'bank', 'bank', 'butcher', 'coba', 'commenc', 'commerc', 'commerc', 'commerc', 'commerc', 'commerc', 'commerc', 'commiss', 'common', 'compani', 'convert', 'corpor', 'cover', 'cumul', 'dlrs', 'earli', 'exchang', 'file', 'file', 'general', 'growth', 'hold', 'inc', 'inc', 'includ', 'initi', 'manag', 'mid', 'offer', 'offer', 'offer', 'one', 'plan', 'prefer', 'prefer', 'prefer', 'price', 'proceed', 'propos', 'public', 'purpos', 'rang', 'registr', 'said', 'said', 'said', 'said', 'said', 'sale', 'secur', 'seri', 'share', 'share', 'share', 'share', 'share', 'share', 'singer', 'statement', 'stock', 'stock', 'stock', 'subsidiari', 'support', 'underwrit', 'use']"
0130,"['13-mar-1987', '15:21:53.56', '500,000', '500,000', '72.7', '74.7', 'adia', 'adia', 'adia', 'adia', 'adia', 'adia', 'agre', 'also', 'base', 'capit', 'common', 'compani', 'compani', 'corpor', 'current', 'debt', 'general', 'inc', 'intend', 'market', 'ownership', 'pct', 'pct', 'price', 'price', 'princip', 'proceed', 'purpos', 'rais', 'retir', 'said', 'said', 'said', 'sale', 'sale', 'sell', 'sell', 'servic', 'servic', 'share', 'share', 'stock', 'stock', 'stockhold', 'use', 'work']"
0131,"['11-mar-1987', '18:09:39.66', '19', 'aid', 'aid', 'aid', 'aid', 'aid', 'aid', 'also', 'appar', 'armi', 'armi', 'begun', 'belief', 'case', 'complic', 'concern', 'could', 'could', 'cowpox', 'develop', 'die', 'discoveri', 'diseas', 'diseas', 'diseas', 'doctor', 'doctor', 'dr', 'england', 'expos', 'expos', 'fatal', 'find', 'find', 'form', 'group', 'held', 'host', 'institut', 'interact', 'journal', 'known', 'led', 'like', 'link', 'man', 'medicin', 'milder', 'militari', 'modifi', 'new', 'old', 'peopl', 'peopl', 'physician', 'potenti', 'pox', 'protect', 'protect', 'protect', 'provoc', 'question', 'question', 'rais', 'receiv', 'recruit', 'redfield', 'reed', 'reli', 'report', 'report', 'report', 'research', 'robert', 'safeti', 'said', 'said', 'said', 'scientist', 'scientist', 'search', 'signific', 'smallpox', 'smallpox', 'smallpox', 'smallpox', 'smallpox', 'team', 'test', 'throw', 'u', 'ultim', 'uncov', 'use', 'vaccin', 'vaccin', 'vaccin', 'vaccin', 'vaccin', 'vaccin', 'vaccin', 'virus', 'virus', 'virus', 'virus', 'walter', 'work', 'year']"
0132,"['1,700', '11-mar-1987', '18:13:59.93', '1982', '20', '40', '54', 'age', 'age', 'also', 'appar', 'atlanta', 'becom', 'birth', 'birth', 'birth', 'cancer', 'cancer', 'cancer', 'cancer', 'cancer', 'cancer', 'case', 'center', 'contracept', 'contracept', 'contracept', 'contracept', 'contracept', 'control', 'control', 'control', 'control', 'countri', 'declin', 'diseas', 'diseas', 'doctor', 'dr', 'effect', 'effect', 'end', 'england', 'epitheli', 'epitheli', 'equal', 'estim', 'even', 'even', 'evid', 'exist', 'five', 'formul', 'found', 'found', 'group', 'help', 'help', 'highest', 'howard', 'incid', 'journal', 'led', 'long', 'long', 'lower', 'market', 'may', 'medicin', 'month', 'month', 'moreov', 'move', 'new', 'new', 'oral', 'oral', 'oral', 'oral', 'oral', 'ori', 'ovari', 'ovarian', 'ovarian', 'ovarian', 'ovarian', 'percent', 'persist', 'pill', 'pill', 'pill', 'pill', 'prevent', 'prevent', 'probabl', 'probabl', 'protect', 'protect', 'provid', 'rate', 'reduc', 'regardless', 'report', 'research', 'risk', 'risk', 'said', 'said', 'said', 'serious', 'specif', 'studi', 'studi', 'take', 'taken', 'taken', 'team', 'ten', 'term', 'type', 'use', 'use', 'use', 'use', 'various', 'wit', 'women', 'women', 'year', 'year']"
0133,"['-1', '-26', '-3', '-4', '-6', '0.5', '0.6', '0.7', '0.8', '1.2', '100', '100', '101', '102', '11-mar-1987', '18.50', '18:14:49.93', '2', '3', '32', '32', '32', '32', '99', 'abl', 'ad', 'addit', 'alreadi', 'also', 'also', 'although', 'analyst', 'analyst', 'analyst', 'analyst', 'analyst', 'analyst', 'approach', 'around', 'auto', 'auto', 'back', 'back', 'bad', 'bandwagon', 'barney', 'barrel', 'bit', 'bond', 'bond', 'bond', 'bond', 'bond', 'bond', 'bond', 'boost', 'break', 'break', 'break', 'break', 'brian', 'bullish', 'came', 'carrol', 'chart', 'chart', 'close', 'come', 'concern', 'consensus', 'contract', 'contract', 'contract', 'could', 'cours', 'cover', 'craig', 'creat', 'crude', 'crude', 'data', 'data', 'dean', 'debt', 'debt', 'debt', 'determin', 'direct', 'direct', 'dlrs', 'earli', 'eas', 'eas', 'econom', 'econom', 'estim', 'everyon', 'expect', 'expect', 'expect', 'expect', 'expect', 'fail', 'februari', 'fed', 'fed', 'feder', 'feder', 'figur', 'figur', 'fill', 'financi', 'find', 'firm', 'firm', 'forecast', 'friday', 'friday', 'friday', 'fund', 'fund', 'fund', 'fund', 'futur', 'futur', 'futur', 'futur', 'futur', 'futur', 'futur', 'futur', 'gain', 'gap', 'gap', 'gibb', 'gibb', 'give', 'hanov', 'harri', 'healthi', 'higher', 'howev', 'impress', 'increas', 'index', 'industri', 'industri', 'interest', 'interest', 'jim', 'jump', 'june', 'june', 'june', 'june', 'june', 'juri', 'karen', 'key', 'key', 'key', 'last', 'level', 'link', 'littl', 'look', 'manufactur', 'market', 'market', 'market', 'market', 'market', 'market', 'materi', 'may', 'mcente', 'mcginley', 'month', 'near', 'need', 'non', 'non', 'number', 'oil', 'oil', 'oil', 'oil', 'oil', 'order', 'outlook', 'particip', 'pct', 'pct', 'pct', 'pct', 'per', 'persist', 'posit', 'posit', 'preclud', 'pressur', 'price', 'price', 'price', 'price', 'price', 'produc', 'product', 'product', 'pull', 'put', 'quick', 'quit', 'ralli', 'ralli', 'rang', 'rang', 'rang', 'rang', 'rang', 'rate', 'rate', 'rate', 'rate', 'readi', 'recent', 'refer', 'resili', 'retail', 'retail', 'retail', 'retail', 'retail', 'right', 'rise', 'rise', 'rozich', 'rozich', 'rozich', 'run', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'sale', 'sale', 'sale', 'sale', 'sale', 'sector', 'sector', 'sell', 'short', 'show', 'show', 'singer', 'singer', 'singer', 'six', 'slight', 'sloan', 'sloan', 'sloan', 'smith', 'sold', 'still', 'strong', 'suffici', 'support', 'support', 'surg', 'tell', 'thursday', 'time', 'today', 'today', 'top', 'top', 'top', 'toward', 'trade', 'trade', 'trader', 'treasuri', 'u', 'u', 'u', 'u', 'upham', 'us', 'week', 'week', 'whether', 'whether', 'within', 'witter', 'would', 'would', 'yet']"
0134,"['11-mar-1987', '18:15:09.97', 'access', 'account', 'action', 'action', 'action', 'address', 'adjust', 'administr', 'africa', 'africa', 'africa', 'africa', 'africa', 'african', 'african', 'african', 'african', 'agreement', 'aid', 'aid', 'also', 'announc', 'assist', 'bank', 'better', 'better', 'bilater', 'budget', 'burden', 'call', 'call', 'coordin', 'corpor', 'countri', 'countri', 'debt', 'develop', 'develop', 'donor', 'earn', 'econom', 'econom', 'econom', 'econom', 'econom', 'econom', 'econom', 'effort', 'enabl', 'end', 'establish', 'establish', 'exist', 'flexibl', 'focus', 'focus', 'food', 'forc', 'forc', 'forc', 'framework', 'fund', 'goal', 'good', 'growth', 'growth', 'heavi', 'heavili', 'help', 'hous', 'hous', 'humanitarian', 'hunger', 'incent', 'incent', 'increas', 'intern', 'involv', 'last', 'last', 'long', 'long', 'market', 'mobil', 'monetari', 'nation', 'nation', 'nation', 'negoti', 'new', 'order', 'outlin', 'perform', 'perform', 'polici', 'polici', 'privat', 'privat', 'privat', 'privat', 'process', 'product', 'product', 'program', 'program', 'program', 'program', 'program', 'program', 'promot', 'provid', 'reagan', 'recommend', 'recommend', 'reform', 'reform', 'reform', 'reform', 'reform', 'region', 'reinforc', 'respond', 'reward', 'reward', 'saharan', 'saharan', 'saharan', 'saharan', 'said', 'said', 'said', 'said', 'sector', 'sector', 'sector', 'self', 'separ', 'septemb', 'seri', 'session', 'set', 'special', 'statement', 'statement', 'stress', 'structur', 'sub', 'sub', 'sub', 'sub', 'task', 'task', 'task', 'term', 'term', 'today', 'toward', 'u', 'u', 'u', 'u', 'u', 'u', 'u', 'u', 'unit', 'voluntari', 'way', 'white', 'white', 'world', 'world', 'year']"
0135,"['-1', '11-mar-1987', '15', '167.25', '18:16:09.87', '190', '2', '2.85', '2.85', '220', '225', '235', '33', '4.20', '4.36', '4.49', '42', '75', '8', 'advanc', 'ago', 'allow', 'also', 'area', 'auction', 'auction', 'bank', 'broad', 'brother', 'buyer', 'call', 'close', 'comment', 'common', 'common', 'compani', 'concept', 'concept', 'convers', 'convert', 'convert', 'convert', 'cost', 'cut', 'demand', 'demand', 'director', 'dividend', 'dividend', 'dividend', 'dividend', 'dividend', 'dlr', 'dlr', 'dlr', 'dlrs', 'dlrs', 'dlrs', 'especi', 'everi', 'featur', 'financ', 'financ', 'first', 'first', 'first', 'first', 'four', 'fund', 'gallatin', 'gallatin', 'gallatin', 'gradual', 'hold', 'hold', 'hold', 'inc', 'inc', 'includ', 'includ', 'instrument', 'instrument', 'instrument', 'insur', 'intens', 'investor', 'investor', 'investor', 'issu', 'issu', 'issuer', 'latter', 'least', 'lehman', 'less', 'less', 'level', 'like', 'maintain', 'major', 'manag', 'manag', 'manag', 'market', 'market', 'market', 'market', 'mln', 'mln', 'money', 'money', 'money', 'money', 'money', 'new', 'new', 'new', 'non', 'note', 'novel', 'offer', 'offer', 'offici', 'origin', 'origin', 'origin', 'oversubscrib', 'part', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pct', 'pension', 'prefer', 'prefer', 'prefer', 'prefer', 'prefer', 'prefer', 'premium', 'premium', 'premium', 'price', 'price', 'price', 'price', 'price', 'price', 'rang', 'receiv', 'redeem', 'repres', 'ronald', 'said', 'said', 'said', 'said', 'said', 'said', 'save', 'secur', 'secur', 'sell', 'set', 'set', 'seven', 'shearson', 'shearson', 'shearson', 'shearson', 'shearson', 'sold', 'sole', 'specifi', 'stock', 'stock', 'stock', 'stock', 'stock', 'strike', 'strike', 'strike', 'strong', 'talk', 'term', 'texa', 'texa', 'texa', 'three', 'three', 'three', 'total', 'tranch', 'tranch', 'tranch', 'tranch', 'tranch', 'two', 'txn', 'type', 'unbeliev', 'unusu', 'version', 'virtual', 'want', 'week', 'wrinkl', 'year']"
0136,"['11-mar-1987', '18:21:00.31', '5', 'acid', 'acid', 'acid', 'action', 'action', 'action', 'administr', 'administr', 'administr', 'also', 'also', 'american', 'among', 'baker', 'baker', 'baker', 'baldrig', 'bentsen', 'better', 'billion', 'brian', 'burn', 'bush', 'canada', 'canada', 'canada', 'canada', 'canadian', 'canadian', 'canadian', 'christoph', 'clark', 'clark', 'clark', 'cleaner', 'coal', 'commerc', 'commit', 'connecticut', 'consult', 'countri', 'day', 'democrat', 'discuss', 'discuss', 'disput', 'dlr', 'dodd', 'establish', 'evid', 'expect', 'expect', 'expect', 'five', 'forc', 'foreign', 'georg', 'georg', 'georg', 'groundwork', 'heat', 'held', 'held', 'implement', 'impress', 'includ', 'includ', 'issu', 'issu', 'jame', 'joe', 'judg', 'keep', 'last', 'lay', 'length', 'live', 'lloyd', 'made', 'main', 'major', 'malcolm', 'mechan', 'meet', 'minist', 'mitchel', 'mitchel', 'month', 'movement', 'movement', 'moynihan', 'much', 'mulroney', 'need', 'new', 'next', 'offici', 'offici', 'offici', 'ottawa', 'part', 'partner', 'patrick', 'predict', 'prepar', 'presid', 'presid', 'prime', 'prioriti', 'program', 'rain', 'rain', 'rain', 'reagan', 'reagan', 'reagan', 'reagan', 'reduc', 'report', 'routin', 'said', 'said', 'said', 'say', 'secretari', 'secretari', 'secretari', 'secretari', 'seek', 'sen', 'senat', 'senat', 'settl', 'sever', 'shultz', 'state', 'state', 'state', 'state', 'summit', 'take', 'taken', 'talk', 'test', 'texa', 'today', 'told', 'trade', 'trade', 'trade', 'treasuri', 'two', 'two', 'u', 'u', 'u', 'unit', 'unit', 'unit', 'urg', 'vice', 'visit', 'washington', 'way', 'wind', 'year', 'year', 'yesterday', 'york']"
0137,"['1,200', '11-mar-1987', '160,253', '18:22:58.57', '1985', '2,100', '371', 'averag', 'check', 'compar', 'cor', 'distribut', 'distribut', 'distribut', 'dlrs', 'dlrs', 'employe', 'employe', 'emplye', 'f', 'facil', 'ford', 'ford', 'mln', 'motor', 'motor', 'payment', 'per', 'profit', 'profit', 'said', 'share', 'share', 'u']"
0138,"['-89', '1.125', '10', '100', '11-mar-1987', '12', '125', '181', '18:24:57.40', '1987', '2.5', '25', '287', '3.5', '300', '300', '50', '85', 'accord', 'agre', 'aim', 'bank', 'billion', 'borrow', 'borrow', 'cap', 'cap', 'club', 'confer', 'creditor', 'current', 'debt', 'debt', 'debt', 'debt', 'debt', 'debt', 'debt', 'dlr', 'dlrs', 'dlrs', 'dollar', 'dollar', 'dollar', 'due', 'due', 'earn', 'econom', 'edward', 'eight', 'exchang', 'expect', 'fallen', 'foreign', 'foreign', 'govern', 'grace', 'growth', 'half', 'includ', 'interest', 'interest', 'jamaica', 'jamaica', 'jamaica', 'jamaica', 'jamaica', 'jamaica', 'justifi', 'last', 'libor', 'maximum', 'million', 'miln', 'minist', 'mln', 'mln', 'mln', 'nation', 'news', 'next', 'next', 'oblig', 'obtain', 'pari', 'payment', 'payment', 'payment', 'pct', 'pct', 'pct', 'pct', 'pct', 'period', 'prime', 'princip', 'princip', 'put', 'put', 'rate', 'ratio', 'reach', 'reduc', 'reduc', 'reduc', 'reduct', 'report', 'reschedul', 'reschedul', 'said', 'said', 'said', 'said', 'seaga', 'seaga', 'seaga', 'speak', 'stock', 'stock', 'three', 'today', 'told', 'total', 'two', 'undertak', 'week', 'within', 'would', 'year', 'year', 'year', 'year', 'year', 'year', 'year', 'year', 'yesterday']"
0139,"['11-mar-1987', '18:26:24.22', 'adapt', 'addit', 'also', 'amount', 'anemia', 'anemia', 'anemia', 'better', 'black', 'blood', 'blood', 'california', 'caus', 'cell', 'cell', 'cell', 'cell', 'cell', 'center', 'cetus', 'children', 'corp', 'ctus', 'day', 'day', 'detect', 'detect', 'develop', 'develop', 'develop', 'diagnosi', 'diagnosi', 'diseas', 'diseas', 'diseas', 'done', 'england', 'exist', 'faster', 'faster', 'fetus', 'flexibl', 'found', 'genet', 'genet', 'inherit', 'journal', 'like', 'materi', 'medicin', 'method', 'might', 'new', 'normal', 'pain', 'prenat', 'primarili', 'procedur', 'procedur', 'produc', 'promis', 'rapid', 'red', 'reliabl', 'requir', 'requir', 'research', 'research', 'research', 'said', 'said', 'said', 'said', 'sensit', 'sever', 'shape', 'sickl', 'sickl', 'sickl', 'sickl', 'sickl', 'small', 'special', 'stiffen', 'team', 'techniqu', 'test', 'test', 'test', 'test', 'type', 'unborn', 'unlik', 'within']"
